#지점,지점명,일시,평균기온(°C),평균 풍속(m/s),평균 상대습도(%)
108,서울,2020-01-01,-2.2,0.6,64.4
108,서울,2020-01-02,1,1.2,65.4
108,서울,2020-01-03,-0.1,1.7,56.9
108,서울,2020-01-04,1.2,1.9,50.8
108,서울,2020-01-05,1.3,1.1,45.6
108,서울,2020-01-06,3.1,3.1,65.4
108,서울,2020-01-07,6.3,4,95
108,서울,2020-01-08,2.4,3.3,86.1
108,서울,2020-01-09,-1.2,2.3,65.3
108,서울,2020-01-10,-0.6,1.5,62.9
108,서울,2020-01-11,-0.1,1.9,60.9
108,서울,2020-01-12,-1,2.4,61.5
108,서울,2020-01-13,-2.9,2.3,51
108,서울,2020-01-14,-2.3,1.6,45.3
108,서울,2020-01-15,-2.7,1.9,44.8
108,서울,2020-01-16,-1.7,1.6,43
108,서울,2020-01-17,-0.6,1.5,43.9
108,서울,2020-01-18,0.3,1.8,48.1
108,서울,2020-01-19,1.9,2.2,62.8
108,서울,2020-01-20,0.7,2.5,46.8
108,서울,2020-01-21,-0.4,1.4,36.9
108,서울,2020-01-22,3,1.7,36
108,서울,2020-01-23,4.6,2,49.3
108,서울,2020-01-24,2.8,1.7,63
108,서울,2020-01-25,4.3,1.5,63.1
108,서울,2020-01-26,5.5,2.7,56.3
108,서울,2020-01-27,5.9,4.6,48.1
108,서울,2020-01-28,6.8,2.6,49.4
108,서울,2020-01-29,6,2.1,46.4
108,서울,2020-01-30,5.2,1.8,47
108,서울,2020-01-31,3.9,2.3,59.6
108,서울,2020-02-01,2.6,1.7,66.6
108,서울,2020-02-02,1.5,1.8,52.3
108,서울,2020-02-03,-0.4,3.1,43.6
108,서울,2020-02-04,-1.6,2.8,50.3
108,서울,2020-02-05,-8.3,3.3,37.3
108,서울,2020-02-06,-6.4,1.9,36.4
108,서울,2020-02-07,-1.7,2,45.1
108,서울,2020-02-08,-0.1,3,48.1
108,서울,2020-02-09,-0.5,2,51.1
108,서울,2020-02-10,4,1.7,49.4
108,서울,2020-02-11,6.8,1.6,37
108,서울,2020-02-12,7.4,2.2,73.4
108,서울,2020-02-13,6.5,1.7,84.8
108,서울,2020-02-14,8.1,1.2,70.3
108,서울,2020-02-15,9.8,2.7,63
108,서울,2020-02-16,-1.4,4,81.1
108,서울,2020-02-17,-5.9,3.4,64.3
108,서울,2020-02-18,-4.1,2.3,44
108,서울,2020-02-19,1,1.5,56.8
108,서울,2020-02-20,4.6,1.7,62.6
108,서울,2020-02-21,6.7,2.2,66.3
108,서울,2020-02-22,4,4,62
108,서울,2020-02-23,2.5,2,48.6
108,서울,2020-02-24,7,1.6,51.8
108,서울,2020-02-25,6.7,4.2,73.5
108,서울,2020-02-26,6.4,2.1,59.6
108,서울,2020-02-27,6.1,2,54
108,서울,2020-02-28,4.5,1.4,79.4
108,서울,2020-02-29,7.7,1.7,68.6
108,서울,2020-03-01,5.8,2,71.8
108,서울,2020-03-02,3.4,2.7,55.3
108,서울,2020-03-03,4.8,2.6,57
108,서울,2020-03-04,2.2,3.7,53.4
108,서울,2020-03-05,1.4,2.5,47.5
108,서울,2020-03-06,3.7,1.6,46.8
108,서울,2020-03-07,7,2,39.5
108,서울,2020-03-08,9.3,1.6,43.8
108,서울,2020-03-09,11.1,1.8,37.6
108,서울,2020-03-10,6.4,2.8,78.4
108,서울,2020-03-11,3.8,3.3,41.8
108,서울,2020-03-12,6.8,2.5,49.8
108,서울,2020-03-13,4.9,3.3,41
108,서울,2020-03-14,3.6,3,48.1
108,서울,2020-03-15,4,3.6,48.3
108,서울,2020-03-16,3.6,2.8,42.4
108,서울,2020-03-17,6.6,2.1,65.8
108,서울,2020-03-18,10,1.8,45.8
108,서울,2020-03-19,9.1,4.8,49
108,서울,2020-03-20,8.8,3.1,39.6
108,서울,2020-03-21,12.8,2,56.5
108,서울,2020-03-22,11,3,37.5
108,서울,2020-03-23,10.6,1.9,37.9
108,서울,2020-03-24,11.4,1.8,35
108,서울,2020-03-25,12.5,1.9,33.6
108,서울,2020-03-26,14.8,1.9,53.8
108,서울,2020-03-27,11.9,3.3,56.4
108,서울,2020-03-28,7.7,3.2,17.9
108,서울,2020-03-29,8.7,2,30.6
108,서울,2020-03-30,10.2,1.8,38.4
108,서울,2020-03-31,11.9,2,34.5
108,서울,2020-04-01,11.3,3.7,35.6
108,서울,2020-04-02,9.3,2.3,41.4
108,서울,2020-04-03,10,2.7,53.8
108,서울,2020-04-04,8.9,3.4,36.4
108,서울,2020-04-05,7.2,2.8,29.5
108,서울,2020-04-06,9.3,2.4,38.3
108,서울,2020-04-07,10.6,2.5,56.6
108,서울,2020-04-08,9.4,3.5,25.5
108,서울,2020-04-09,8.9,2.8,44.6
108,서울,2020-04-10,10.7,2.4,52.6
108,서울,2020-04-11,9.9,2.5,63.8
108,서울,2020-04-12,9.9,3.8,58.6
108,서울,2020-04-13,12.4,3.1,39.4
108,서울,2020-04-14,13,2.4,46.8
108,서울,2020-04-15,13.2,2.2,39.8
108,서울,2020-04-16,16,2.3,39.9
108,서울,2020-04-17,12.5,2.4,77.8
108,서울,2020-04-18,13.5,2.6,67.9
108,서울,2020-04-19,12.3,2.7,75.8
108,서울,2020-04-20,10,3.3,73
108,서울,2020-04-21,7.4,4.4,49
108,서울,2020-04-22,6,4,46.8
108,서울,2020-04-23,7.9,3.7,47.8
108,서울,2020-04-24,9.9,3.9,55.6
108,서울,2020-04-25,13.1,3.9,54.4
108,서울,2020-04-26,12.3,3.2,43.1
108,서울,2020-04-27,12.9,2.8,49.8
108,서울,2020-04-28,13.9,3,50
108,서울,2020-04-29,14.9,2.6,48.6
108,서울,2020-04-30,17.1,2.7,57.1
108,서울,2020-05-01,20.2,2.7,73.6
108,서울,2020-05-02,20.3,2.3,79.6
108,서울,2020-05-03,21.8,2,68.8
108,서울,2020-05-04,20.2,2.7,63.9
108,서울,2020-05-05,16,1.9,67.9
108,서울,2020-05-06,19.4,2.1,50
108,서울,2020-05-07,20.7,2.5,32.5
108,서울,2020-05-08,19.9,2.4,32.8
108,서울,2020-05-09,14.2,3.6,94.4
108,서울,2020-05-10,14.4,2.5,88.6
108,서울,2020-05-11,16.5,3,61
108,서울,2020-05-12,14.3,2.9,69.4
108,서울,2020-05-13,16.1,2.8,47.3
108,서울,2020-05-14,19.3,2,35.4
108,서울,2020-05-15,16.1,3,81.4
108,서울,2020-05-16,16.7,1.6,90.3
108,서울,2020-05-17,19.1,1.7,80.1
108,서울,2020-05-18,19.1,2.4,79.4
108,서울,2020-05-19,13,3.2,73.6
108,서울,2020-05-20,14.4,1.9,60.4
108,서울,2020-05-21,17.4,2.1,56.1
108,서울,2020-05-22,18.5,1.9,68.5
108,서울,2020-05-23,20.1,2.2,66.1
108,서울,2020-05-24,17.1,2.9,84.8
108,서울,2020-05-25,16.6,2.1,81
108,서울,2020-05-26,16.2,2.1,81.9
108,서울,2020-05-27,17.4,2.6,68.5
108,서울,2020-05-28,18.7,1.9,62.8
108,서울,2020-05-29,20.7,2,65.6
108,서울,2020-05-30,22.6,1.9,57.3
108,서울,2020-05-31,21.2,2.3,63
108,서울,2020-06-01,19.7,3.4,64.3
108,서울,2020-06-02,17.9,2.2,71
108,서울,2020-06-03,22,2.4,73.3
108,서울,2020-06-04,21.9,2.7,81.1
108,서울,2020-06-05,23,1.8,69.4
108,서울,2020-06-06,24.6,2,63.6
108,서울,2020-06-07,22.7,2.3,69.4
108,서울,2020-06-08,25,2.1,63.6
108,서울,2020-06-09,26.7,2.3,51.6
108,서울,2020-06-10,25.8,2,63.8
108,서울,2020-06-11,26.1,2.2,68.3
108,서울,2020-06-12,24.7,1.7,68.6
108,서울,2020-06-13,26.9,1.9,52.8
108,서울,2020-06-14,24,2.9,70.6
108,서울,2020-06-15,23,2.8,62.3
108,서울,2020-06-16,24.4,2.2,63
108,서울,2020-06-17,24.3,2,58.6
108,서울,2020-06-18,23.4,1.6,61.4
108,서울,2020-06-19,24.7,2.1,61.4
108,서울,2020-06-20,24.9,2.1,62.6
108,서울,2020-06-21,26.1,2,59.5
108,서울,2020-06-22,28.6,2,50.5
108,서울,2020-06-23,27.3,1.9,53.5
108,서울,2020-06-24,22.3,2.7,83.5
108,서울,2020-06-25,21.6,2.2,91
108,서울,2020-06-26,21.8,3.2,82.1
108,서울,2020-06-27,24.1,2,70.4
108,서울,2020-06-28,25.2,2.4,70.5
108,서울,2020-06-29,23.8,2.4,77
108,서울,2020-06-30,20.1,4,83
108,서울,2020-07-01,21.1,1.9,79.3
108,서울,2020-07-02,24.2,1.9,74.5
108,서울,2020-07-03,25.5,2.6,63.5
108,서울,2020-07-04,24.2,2.1,63.9
108,서울,2020-07-05,23.8,1.9,68.6
108,서울,2020-07-06,25.6,2.1,66.6
108,서울,2020-07-07,24.1,2.5,75.5
108,서울,2020-07-08,25.5,2,71.9
108,서울,2020-07-09,27.5,1.7,64.6
108,서울,2020-07-10,24.5,2.8,75
108,서울,2020-07-11,25.8,2.6,62.6
108,서울,2020-07-12,23.5,2.4,71.9
108,서울,2020-07-13,18.7,4,94.8
108,서울,2020-07-14,20.3,2.8,79.4
108,서울,2020-07-15,23.4,2,63.1
108,서울,2020-07-16,25,1.8,70.9
108,서울,2020-07-17,26,1.9,72
108,서울,2020-07-18,26.1,1.6,71.6
108,서울,2020-07-19,24,2.7,81.6
108,서울,2020-07-20,23.8,3.7,86.3
108,서울,2020-07-21,25,1.6,77
108,서울,2020-07-22,23.7,1.6,89.3
108,서울,2020-07-23,21.1,3.6,95.5
108,서울,2020-07-24,22.5,4.6,74.3
108,서울,2020-07-25,24.3,3.1,69.3
108,서울,2020-07-26,25.4,2,69.3
108,서울,2020-07-27,24.3,2.2,86.4
108,서울,2020-07-28,24.4,2,84.8
108,서울,2020-07-29,23.7,2,95.8
108,서울,2020-07-30,25.3,2.1,85.5
108,서울,2020-07-31,26.2,2,81.9
108,서울,2020-08-01,25.3,1.7,90.9
108,서울,2020-08-02,24.9,2.3,96.3
108,서울,2020-08-03,25,3,96.3
108,서울,2020-08-04,27,3.5,89.3
108,서울,2020-08-05,26.5,1.9,92.1
108,서울,2020-08-06,24.1,3.3,92.8
108,서울,2020-08-07,24.3,1.8,85.3
108,서울,2020-08-08,24.2,2.3,89.5
108,서울,2020-08-09,24.9,2.6,95.4
108,서울,2020-08-10,26.5,2,91.6
108,서울,2020-08-11,24.6,2.2,92.5
108,서울,2020-08-12,27.2,1.9,83.9
108,서울,2020-08-13,28,2.5,82.4
108,서울,2020-08-14,27.1,3.5,86.1
108,서울,2020-08-15,26.1,1.9,96
108,서울,2020-08-16,27.4,3,82.6
108,서울,2020-08-17,28.2,2.3,77.9
108,서울,2020-08-18,27.5,1.6,76.3
108,서울,2020-08-19,27.1,2,76.8
108,서울,2020-08-20,27.7,1.7,76
108,서울,2020-08-21,26.6,1.6,83.1
108,서울,2020-08-22,24.3,2.1,87.4
108,서울,2020-08-23,25.3,1.9,78.4
108,서울,2020-08-24,27.8,2.2,71.6
108,서울,2020-08-25,29.9,2.1,69.5
108,서울,2020-08-26,30.2,3.4,68.3
108,서울,2020-08-27,27.1,3.6,84.6
108,서울,2020-08-28,27.3,1.6,89.1
108,서울,2020-08-29,26.8,1.3,90.1
108,서울,2020-08-30,26.8,2.1,88.8
108,서울,2020-08-31,26.4,2.8,77.9
108,서울,2020-09-01,26.6,1.9,72.4
108,서울,2020-09-02,24.3,2.3,91.3
108,서울,2020-09-03,22.7,4.8,82
108,서울,2020-09-04,23.3,2.7,63.9
108,서울,2020-09-05,23.3,2,66.6
108,서울,2020-09-06,21.7,2.7,80
108,서울,2020-09-07,19.2,4.2,93.5
108,서울,2020-09-08,23.4,4.2,71.5
108,서울,2020-09-09,21.1,2.1,83.4
108,서울,2020-09-10,22.8,2,75.8
108,서울,2020-09-11,22.4,2.8,72.6
108,서울,2020-09-12,20.2,2,83.8
108,서울,2020-09-13,21.5,1.9,70.4
108,서울,2020-09-14,21.3,1.8,79.3
108,서울,2020-09-15,23,1.6,76.4
108,서울,2020-09-16,22.5,1.9,79.9
108,서울,2020-09-17,21.3,2.1,70.3
108,서울,2020-09-18,21.5,2.8,62
108,서울,2020-09-19,21.2,2.2,59.3
108,서울,2020-09-20,19.7,2,57.6
108,서울,2020-09-21,19.1,1.7,56.1
108,서울,2020-09-22,20.2,2.8,55.3
108,서울,2020-09-23,19.2,3.3,59.9
